,Accession,Latitude,Longitude,CLM_grid,avg_soil_file,scenario,maturity_days_5,maturity_days_6,maturity_days_7,maturity_days_8,maturity_days_9,maturity_days_10,maturity_days_11,maturity_days_12,maturity_days_13,maturity_days_14,maturity_days_15,maturity_days_16,maturity_days_17,maturity_days_18,maturity_days_19,veg_days_5,veg_days_6,veg_days_7,veg_days_8,veg_days_9,veg_days_10,veg_days_11,veg_days_12,veg_days_13,veg_days_14,veg_days_15,veg_days_16,veg_days_17,veg_days_18,veg_days_19,repro_days_5,repro_days_6,repro_days_7,repro_days_8,repro_days_9,repro_days_10,repro_days_11,repro_days_12,repro_days_13,repro_days_14,repro_days_15,repro_days_16,repro_days_17,repro_days_18,repro_days_19,water_cum_adj_5,water_cum_adj_6,water_cum_adj_7,water_cum_adj_8,water_cum_adj_9,water_cum_adj_10,water_cum_adj_11,water_cum_adj_12,water_cum_adj_13,water_cum_adj_14,water_cum_adj_15,water_cum_adj_16,water_cum_adj_17,water_cum_adj_18,water_cum_adj_19,water_veg_adj_5,water_veg_adj_6,water_veg_adj_7,water_veg_adj_8,water_veg_adj_9,water_veg_adj_10,water_veg_adj_11,water_veg_adj_12,water_veg_adj_13,water_veg_adj_14,water_veg_adj_15,water_veg_adj_16,water_veg_adj_17,water_veg_adj_18,water_veg_adj_19,water_repro_adj_5,water_repro_adj_6,water_repro_adj_7,water_repro_adj_8,water_repro_adj_9,water_repro_adj_10,water_repro_adj_11,water_repro_adj_12,water_repro_adj_13,water_repro_adj_14,water_repro_adj_15,water_repro_adj_16,water_repro_adj_17,water_repro_adj_18,water_repro_adj_19,tmpavg_cum_adj_5,tmpavg_cum_adj_6,tmpavg_cum_adj_7,tmpavg_cum_adj_8,tmpavg_cum_adj_9,tmpavg_cum_adj_10,tmpavg_cum_adj_11,tmpavg_cum_adj_12,tmpavg_cum_adj_13,tmpavg_cum_adj_14,tmpavg_cum_adj_15,tmpavg_cum_adj_16,tmpavg_cum_adj_17,tmpavg_cum_adj_18,tmpavg_cum_adj_19,tmpavg_veg_adj_5,tmpavg_veg_adj_6,tmpavg_veg_adj_7,tmpavg_veg_adj_8,tmpavg_veg_adj_9,tmpavg_veg_adj_10,tmpavg_veg_adj_11,tmpavg_veg_adj_12,tmpavg_veg_adj_13,tmpavg_veg_adj_14,tmpavg_veg_adj_15,tmpavg_veg_adj_16,tmpavg_veg_adj_17,tmpavg_veg_adj_18,tmpavg_veg_adj_19,tmpavg_repro_adj_5,tmpavg_repro_adj_6,tmpavg_repro_adj_7,tmpavg_repro_adj_8,tmpavg_repro_adj_9,tmpavg_repro_adj_10,tmpavg_repro_adj_11,tmpavg_repro_adj_12,tmpavg_repro_adj_13,tmpavg_repro_adj_14,tmpavg_repro_adj_15,tmpavg_repro_adj_16,tmpavg_repro_adj_17,tmpavg_repro_adj_18,tmpavg_repro_adj_19,cold_cum_adj_5,cold_cum_adj_6,cold_cum_adj_7,cold_cum_adj_8,cold_cum_adj_9,cold_cum_adj_10,cold_cum_adj_11,cold_cum_adj_12,cold_cum_adj_13,cold_cum_adj_14,cold_cum_adj_15,cold_cum_adj_16,cold_cum_adj_17,cold_cum_adj_18,cold_cum_adj_19,cold_veg_adj_5,cold_veg_adj_6,cold_veg_adj_7,cold_veg_adj_8,cold_veg_adj_9,cold_veg_adj_10,cold_veg_adj_11,cold_veg_adj_12,cold_veg_adj_13,cold_veg_adj_14,cold_veg_adj_15,cold_veg_adj_16,cold_veg_adj_17,cold_veg_adj_18,cold_veg_adj_19,cold_repro_adj_5,cold_repro_adj_6,cold_repro_adj_7,cold_repro_adj_8,cold_repro_adj_9,cold_repro_adj_10,cold_repro_adj_11,cold_repro_adj_12,cold_repro_adj_13,cold_repro_adj_14,cold_repro_adj_15,cold_repro_adj_16,cold_repro_adj_17,cold_repro_adj_18,cold_repro_adj_19,solar_cum_adj_5,solar_cum_adj_6,solar_cum_adj_7,solar_cum_adj_8,solar_cum_adj_9,solar_cum_adj_10,solar_cum_adj_11,solar_cum_adj_12,solar_cum_adj_13,solar_cum_adj_14,solar_cum_adj_15,solar_cum_adj_16,solar_cum_adj_17,solar_cum_adj_18,solar_cum_adj_19,solar_veg_adj_5,solar_veg_adj_6,solar_veg_adj_7,solar_veg_adj_8,solar_veg_adj_9,solar_veg_adj_10,solar_veg_adj_11,solar_veg_adj_12,solar_veg_adj_13,solar_veg_adj_14,solar_veg_adj_15,solar_veg_adj_16,solar_veg_adj_17,solar_veg_adj_18,solar_veg_adj_19,solar_repro_adj_5,solar_repro_adj_6,solar_repro_adj_7,solar_repro_adj_8,solar_repro_adj_9,solar_repro_adj_10,solar_repro_adj_11,solar_repro_adj_12,solar_repro_adj_13,solar_repro_adj_14,solar_repro_adj_15,solar_repro_adj_16,solar_repro_adj_17,solar_repro_adj_18,solar_repro_adj_19
1,FT218,31.77,35.11,31.3Nx35.0E,Wheat_v10_sg_avg_128063.soil,nw_targets_01,36,172,173,267,80,182,195,161,186,199,161,167,167,165,178,26,116,103,191,25,109,103,103,103,111,101,102,102,101,105,0,52,52,53,51,58,72,45,65,69,47,50,48,48,59,328.811289,13511.07357,13472.51772,20796.31588,6130.689273,15059.26128,16654.45691,14282.64906,15922.82306,15728.0945,14189.15293,14049.71752,14288.27051,13515.55783,15203.46184,328.811289,8707.964242,8617.216031,15926.34435,1834.004704,9488.578527,9717.976802,9957.764871,9634.99188,9009.789028,9617.218968,9163.927222,9599.367933,8801.307989,9406.903728,0,4803.109329,4855.30169,4869.97153,4296.684569,5570.682751,6936.480104,4324.884185,6287.831182,6718.305474,4571.933958,4885.790295,4688.902581,4714.249838,5796.558113,252.35,2739.97,2724.9,4116.2,995.67,3102.54,3559.34,2638.34,3382.65,3477.82,2619.17,2704.2,2707.91,2604.74,3085.95,252.35,1449.61,1444.03,2783.19,269.67,1587.12,1532.04,1616.43,1591.14,1560.4,1516.49,1508.93,1563.73,1458.58,1534.18,0,1290.36,1280.87,1333.01,726,1515.42,2027.3,1021.91,1791.51,1917.42,1102.68,1195.27,1144.18,1146.16,1551.77,221.65,2297.98,2318.85,3509.73,833.7,2621.12,2998.25,2175.12,2858.33,2909.43,2188.77,2249.61,2270.19,2191.67,2577.73,221.65,1207.75,1218.62,2362.02,228.02,1332.02,1265.26,1298.98,1317.48,1290.49,1244.56,1245.27,1284.91,1219.31,1262.87,0,1090.23,1100.23,1147.71,605.68,1289.1,1732.99,876.14,1540.85,1618.94,944.21,1004.34,985.28,972.36,1314.86,247.18,3148.675,3266.527,4341.961,1100.301,3707.185,4003.393,3310.418,3886.932,4220.375,3264.261,3239.694,3349.798,3205.602,3727.967,247.18,1808.89,1825.113,2970.186,283.439,2034.977,1970.625,2039.333,2000.446,2211.874,1977.226,1900.645,2050.74,1854.47,2072.94,0,1339.785,1441.414,1371.775,816.862,1672.208,2032.768,1271.085,1886.486,2008.501,1287.035,1339.049,1299.058,1351.132,1655.027
2,FT462,37.78,39.78,36.9Nx40.0E,Wheat_v10_sg_avg_122600.soil,nw_targets_01,29,364,174,352,272,332,273,336,296,332,250,291,304,288,344,0,179,116,200,133,203,132,170,146,183,132,124,101,145,172,0,96,45,100,113,117,129,121,123,124,112,124,124,123,116,0,16414.27064,7004.502025,17010.42148,13699.81879,16176.48922,16674.54795,18291.10401,13756.9938,16614.7002,17092.29325,22250.29602,19798.29174,18091.18642,19013.82047,0,6824.99475,3612.061671,7953.330592,3340.793969,4534.968865,4219.891778,6644.073797,2113.224414,4528.193773,6095.863344,10031.99913,7564.240777,5959.546834,7421.246782,0,9589.275889,3392.440354,9057.090884,10359.02482,11641.52035,12454.65617,11647.03021,11643.76939,12086.50643,10996.42991,12218.29689,12234.05096,12131.63959,11592.57369,0,5881.47,1920.38,5978.65,5007.96,5830.23,5554.02,6023.52,5378.24,6127.03,5022.93,5980.01,5586.1,5806.24,6178.24,0,2946.18,936.26,2899.34,1405.82,2097.26,1361,2116.31,1386.76,2187.72,1469.37,1981.02,1581.48,1859.99,2519.82,0,2935.29,984.12,3079.31,3602.14,3732.97,4193.02,3907.21,3991.48,3939.31,3553.56,3998.99,4004.62,3946.25,3658.42,0,5026.9,1499.01,5111.61,4270.5,4860.09,4726.33,5126.15,4567.59,5178.9,4263.63,5131.36,4813.27,4989.95,5323.02,0,2445.5,670.78,2359.08,1098.07,1566.75,1033.14,1681.14,1035.47,1696.76,1115.68,1603.74,1281.35,1475.78,2056.33,0,2581.4,828.23,2752.53,3172.43,3293.34,3693.19,3445.01,3532.12,3482.14,3147.95,3527.62,3531.92,3514.17,3266.69,0,5410.249,2615.907,5661.08,4942.917,6159.537,5589.243,5919.958,5414.969,6441.87,5408.819,5793.317,5501.586,5897.717,6032.34,0,3107.208,1476.159,3479.392,1875.566,2974.157,2060.114,2648.907,1952.365,3262.174,2192.359,2620.839,2097.366,2608.442,2938.623,0,2303.041,1139.748,2181.688,3067.351,3185.38,3529.129,3271.051,3462.604,3179.696,3216.46,3172.478,3404.22,3289.275,3093.717
3,FT473,37.66,37.79,36.9Nx37.5E,Wheat_v10_sg_avg_122917.soil,nw_targets_01,31,351,171,355,243,308,282,309,312,331,247,283,296,320,260,0,182,114,207,132,167,144,149,163,176,133,123,101,183,133,0,95,44,100,73,112,124,113,128,125,110,124,117,123,118,0,14675.80436,5965.906099,17584.79631,9267.979669,15609.71628,15657.80988,16247.59535,16264.51435,17745.03156,19905.86507,20529.43686,19879.34267,21247.89502,15466.20219,0,5312.632425,2181.907041,8000.899848,2896.789336,4445.687823,3495.909338,5694.182833,3506.047607,5254.456532,9162.985868,8237.312782,8434.51834,9011.997319,3799.231175,0,9363.171938,3783.999058,9583.896461,6371.190333,11164.02846,12161.90054,10553.41252,12758.46674,12490.57503,10742.8792,12292.12408,11444.82433,12235.8977,11666.97101,0,5551.9,1850.33,6018.36,3373.98,5305.52,5539.77,5341.9,5927.77,5988.96,4894.58,5745.82,5247.11,5837.58,5123.09,0,2687.17,918.3,2943.42,1355.69,1769.98,1567.07,1776.72,1797.76,2024.34,1450.99,1807.57,1575.08,1913.01,1428.51,0,2864.73,932.03,3074.94,2018.29,3535.54,3972.7,3565.18,4130.01,3964.62,3443.59,3938.25,3672.03,3924.57,3694.58,0,4784.84,1473.16,5193.16,2835.77,4504.1,4753.86,4578.44,5073.42,5140.19,4184.43,5013.03,4562.7,5022.68,4437.84,0,2237.62,678.62,2412.8,1067.46,1336.54,1207.28,1390.65,1374.78,1561.8,1096.68,1469.57,1276.83,1470.67,1119.64,0,2547.22,794.54,2780.36,1768.31,3167.56,3546.58,3187.79,3698.64,3578.39,3087.75,3543.46,3285.87,3552.01,3318.2,0,5393.709,2473.726,5884.147,3732.846,5673.439,5725.151,5457.818,5930.659,6364.019,5321.928,5707.161,5346.944,6143.893,5446.028,0,2965.608,1348.343,3641.435,1729.983,2584.446,2364.058,2376.121,2400.908,3092.202,2181.526,2444.908,2105.326,2771.637,2101.876,0,2428.101,1125.383,2242.712,2002.863,3088.993,3361.093,3081.697,3529.751,3271.817,3140.402,3262.253,3241.618,3372.256,3344.152
4,FT730,37.33,37.27,36.9Nx37.5E,Wheat_v10_sg_avg_122917.soil,nw_targets_01,31,351,171,355,243,308,282,309,312,331,247,283,296,320,260,0,182,114,207,132,167,144,149,163,176,133,123,101,183,133,0,95,44,100,73,112,124,113,128,125,110,124,117,123,118,0,14675.80436,5965.906099,17584.79631,9267.979669,15609.71628,15657.80988,16247.59535,16264.51435,17745.03156,19905.86507,20529.43686,19879.34267,21247.89502,15466.20219,0,5312.632425,2181.907041,8000.899848,2896.789336,4445.687823,3495.909338,5694.182833,3506.047607,5254.456532,9162.985868,8237.312782,8434.51834,9011.997319,3799.231175,0,9363.171938,3783.999058,9583.896461,6371.190333,11164.02846,12161.90054,10553.41252,12758.46674,12490.57503,10742.8792,12292.12408,11444.82433,12235.8977,11666.97101,0,5551.9,1850.33,6018.36,3373.98,5305.52,5539.77,5341.9,5927.77,5988.96,4894.58,5745.82,5247.11,5837.58,5123.09,0,2687.17,918.3,2943.42,1355.69,1769.98,1567.07,1776.72,1797.76,2024.34,1450.99,1807.57,1575.08,1913.01,1428.51,0,2864.73,932.03,3074.94,2018.29,3535.54,3972.7,3565.18,4130.01,3964.62,3443.59,3938.25,3672.03,3924.57,3694.58,0,4784.84,1473.16,5193.16,2835.77,4504.1,4753.86,4578.44,5073.42,5140.19,4184.43,5013.03,4562.7,5022.68,4437.84,0,2237.62,678.62,2412.8,1067.46,1336.54,1207.28,1390.65,1374.78,1561.8,1096.68,1469.57,1276.83,1470.67,1119.64,0,2547.22,794.54,2780.36,1768.31,3167.56,3546.58,3187.79,3698.64,3578.39,3087.75,3543.46,3285.87,3552.01,3318.2,0,5393.709,2473.726,5884.147,3732.846,5673.439,5725.151,5457.818,5930.659,6364.019,5321.928,5707.161,5346.944,6143.893,5446.028,0,2965.608,1348.343,3641.435,1729.983,2584.446,2364.058,2376.121,2400.908,3092.202,2181.526,2444.908,2105.326,2771.637,2101.876,0,2428.101,1125.383,2242.712,2002.863,3088.993,3361.093,3081.697,3529.751,3271.817,3140.402,3262.253,3241.618,3372.256,3344.152
5,HOR4724,40.18,44.52,40.7Nx45.0E,Wheat_v10_sg_avg_117275.soil,nw_targets_01,99,336,365,328,336,365,330,345,341,342,354,354,352,349,338,88,249,312,270,265,306,259,278,269,273,283,290,283,287,278,0,49,41,46,53,48,46,52,49,48,53,50,52,49,50,0,6315.509525,4926.433765,2522.969635,5480.573623,4876.599318,2419.49275,5294.636913,5171.271761,5053.928576,6217.862517,5973.882615,7138.184049,5689.197278,4909.04531,0,2281.291779,2016.600308,0.520164,1194.697841,2045.333432,0.150465,1146.00075,1371.773985,1332.57969,2048.664609,1862.794881,2626.307824,1510.772223,1162.655875,0,4034.217746,2909.833457,2522.449471,4285.875782,2831.265886,2419.342285,4148.636163,3799.497776,3721.348886,4169.197908,4111.087734,4511.876225,4178.425055,3746.389435,79.62,1817.69,2768.89,1662.6,3080.93,2790.71,2174,3090.59,2578.78,2460.25,2826.25,3102.94,2999.23,2763.63,2826.68,79.62,753.68,1870.97,744.25,1780.65,1795.37,1142.44,1849.89,1509.51,1367.51,1597.74,1931.67,1730.95,1609.94,1712.92,0,1064.01,897.92,918.35,1300.28,995.34,1031.56,1240.7,1069.27,1092.74,1228.51,1171.27,1268.28,1153.69,1113.76,-61.23,893.87,1838.64,863.36,2222.21,1831.62,1357.06,2113.56,1639.35,1517.88,1836.05,2069.19,1982.09,1864.39,1887.4,-61.23,62.26,1130.78,153.3,1188.43,1056.47,528.97,1137.44,811.2,651.89,877.56,1150.32,967.71,935.8,1019.61,0,831.61,707.86,710.06,1033.78,775.15,828.09,976.12,828.15,865.99,958.49,918.87,1014.38,928.59,867.79,471.889,4711.878,4634.699,4282.608,4586.482,4936.075,4394.698,5172.984,4658.476,5114.331,5282.33,5402.667,5358.467,4890.383,5009.391,471.889,3457.3,3706.411,3090.211,3275.804,3776.464,3118.195,3771.303,3405.209,3855.384,3945.222,4147.537,3985.667,3619.137,3657.628,0,1254.578,928.288,1192.397,1310.678,1159.611,1276.503,1401.681,1253.267,1258.947,1337.108,1255.13,1372.8,1271.246,1351.763
6,HOR3950,47.01,13.17,46.4Nx12.5E,Wheat_v10_sg_avg_089210.soil,nw_targets_01,116,344,330,329,329,308,322,296,281,342,321,311,307,301,325,107,289,271,273,277,252,269,240,221,287,262,252,250,246,272,0,42,44,41,41,44,43,42,42,42,42,45,44,42,43,0,0,0,0,0,0,10.054274,0,6.956449,81.499916,0,0,0,0,0,0,0,0,0,0,0,0.691326,0,0,81.499916,0,0,0,0,0,0,0,0,0,0,0,9.362948,0,6.956449,0,0,0,0,0,0,554.68,2581.45,2369.96,1967.01,2706.05,2324.71,2750.02,2077.99,1809.17,2987.45,2246.1,2329.31,2434.96,2116.24,2393.68,554.68,1808.82,1619.1,1184.22,1927.26,1568.48,1950.21,1390.4,1055.29,2109.2,1471.42,1583.12,1718.48,1392.22,1654.71,0,772.63,750.86,782.79,778.79,756.23,799.81,687.59,753.88,878.25,774.68,746.19,716.48,724.02,738.97,388.4,1804.24,1654.01,1249.14,1967.27,1618.63,2041.27,1400.42,1150.94,2228.93,1582.51,1652.6,1713.3,1366.7,1722.51,388.4,1166.18,1052.04,598.59,1295.87,1007.18,1385.37,840.98,530.06,1486.38,917.05,1032.66,1125.15,763.12,1118.66,0,638.06,601.97,650.55,671.4,611.45,655.9,559.44,620.88,742.55,665.46,619.94,588.15,603.58,603.85,400.64,3232.853,2939.783,3195.035,3267.355,3038.741,3240.402,2675.589,2866.744,3696.856,2887.876,3023.279,3041.796,3185.479,3147.888,400.64,2369.055,2051,2328.955,2576.307,2072.44,2279.156,1804.332,1947.246,2794.388,2161.184,2189.773,2132.135,2344.064,2184.423,0,863.798,888.783,866.08,691.048,966.301,961.246,871.257,919.498,902.468,726.692,833.506,909.661,841.415,963.465
7,HOR1707,35.91,71.52,35.1Nx72.5E,Wheat_v10_sg_avg_184210.soil,nw_targets_01,64,359,284,365,365,333,365,347,326,329,352,365,331,343,331,0,93,88,91,152,211,93,101,96,98,95,190,214,93,94,0,48,46,47,44,46,52,45,46,48,50,37,46,47,46,0,6429.531598,6343.710882,6584.670421,9397.449575,14545.88151,6511.092444,6819.404537,6561.265899,7061.038355,7054.000215,5756.067041,6973.97276,6653.143152,6681.818741,0,2769.897801,2700.38865,3042.811432,5889.798111,10666.53025,2653.795945,3085.269113,2941.96571,3096.460499,2978.02857,2870.3728,3044.547299,2981.599295,2849.776779,0,3659.633797,3643.322232,3541.858989,3507.651464,3879.351257,3857.296499,3734.135424,3619.300189,3964.577856,4075.971645,2885.694241,3929.425461,3671.543857,3832.041962,0,2143.04,2197.91,2246.3,2012.31,1590.27,2316.25,2438.62,2327.15,2444.74,2434.29,2180.39,1640.73,2290.82,2338.85,0,1534.71,1550.79,1633.91,1327.72,712.48,1562.42,1653.83,1579.41,1653.75,1666.72,1562.96,846.44,1627.98,1577.93,0,608.33,647.12,612.39,684.59,877.79,753.83,784.79,747.74,790.99,767.57,617.43,794.29,662.84,760.92,0,1591.89,1686.74,1691.17,1301.09,592.84,1778.73,1865.75,1778.15,1830.07,1818.53,1336.25,630.94,1733.92,1801.4,0,1176.99,1227.64,1253.81,808.93,-66.1,1236.39,1282.78,1221.46,1243.69,1276.09,877.8,41.31,1259.28,1244.61,0,414.9,459.1,437.36,492.16,658.94,542.34,582.97,556.69,586.38,542.44,458.45,589.63,474.64,556.79,0,3861.39,3653.644,3843.685,4363,6028.279,3923.571,4222.313,3980.01,4412.793,4251.24,5324.918,6356.061,4028.512,4101.383,0,2716.091,2528.657,2762.652,3210.125,4701.078,2639.166,2970.674,2832.898,3069.427,2925.632,4351.591,5032.732,2898.407,2818.78,0,1145.299,1124.987,1081.033,1152.875,1327.201,1284.405,1251.639,1147.112,1343.366,1325.608,973.327,1323.329,1130.105,1282.603
8,HOR8658,31.19,29.9,31.3Nx30.0E,Wheat_v10_sg_avg_128198.soil,nw_targets_01,1,169,150,151,144,149,157,141,156,152,140,140,142,142,148,0,106,93,94,91,94,94,87,92,97,88,89,87,89,94,0,48,45,44,41,43,49,44,52,45,41,41,43,42,42,0,13645.34078,12696.78779,13469.473,12772.68045,12974.86684,13719.75396,12882.23185,13769.03834,12296.06999,12635.34275,12232.42982,12470.50421,12097.30301,12832.40781,0,8857.587984,8207.149513,9079.542661,8865.577219,8684.561456,8826.545816,8488.067006,8573.976275,7799.651575,8538.526481,8135.064627,8226.318485,8169.323499,8672.402689,0,4787.752791,4489.63828,4389.930342,3907.103233,4290.305379,4893.208146,4394.164842,5195.062067,4496.418419,4096.816269,4097.365197,4244.185727,3927.979513,4160.005116,0,2811.98,2361.99,2397.29,2341.74,2446.8,2633.95,2438.79,2778.24,2444.57,2316.77,2257.92,2366.24,2313.17,2414.45,0,1662.96,1412.59,1415.43,1504.93,1485.45,1475.29,1463.31,1468.13,1441.99,1472.62,1434.57,1391.51,1434.89,1488,0,1149.02,949.4,981.86,836.81,961.35,1158.66,975.48,1310.11,1002.58,844.15,823.35,974.73,878.28,926.45,0,2441.12,2100.23,2115.33,2068.58,2165.95,2299.81,2129.72,2432.87,2139.31,2040.85,1994.48,2086.52,2050.11,2114.08,0,1469,1272.99,1270.4,1335.94,1341.79,1305.63,1294.01,1298.56,1282.45,1300.43,1280.57,1244.29,1286.46,1312.97,0,972.12,827.24,844.93,732.64,824.16,994.18,835.71,1134.31,856.86,740.42,713.91,842.23,763.65,801.11,0,2828.23,2556.659,2502.457,2487.092,2606.659,2904.596,2646.929,2998.76,2806.624,2560.865,2403.091,2632.559,2487.824,2658.053,0,1607.767,1403.524,1432.971,1485.093,1500.032,1622.232,1502.17,1575.534,1590.621,1539.057,1382.682,1515.115,1439.36,1599.277,0,1220.463,1153.135,1069.486,1001.999,1106.627,1282.364,1144.759,1423.226,1216.003,1021.808,1020.409,1117.444,1048.464,1058.776
9,HOR9919,45.43,6.31,44.5Nx7.5E,Wheat_v10_sg_avg_098459.soil,nw_targets_01,116,283,283,258,316,262,277,193,241,291,260,275,264,263,261,108,219,222,182,264,196,216,171,173,238,199,218,195,198,186,0,53,50,47,41,56,51,13,54,43,51,46,60,55,64,0,0,0,0.490676,1370.569028,0,0,4.600896,0,890.726514,0,0,0,0,0,0,0,0,0,33.415266,0,0,4.600896,0,0,0,0,0,0,0,0,0,0,0.490676,1337.153762,0,0,0,0,890.726514,0,0,0,0,0,1019.41,2353.86,2368.74,1733.25,3241.78,2302.9,2554.74,1579.2,1922.98,2771.2,2186.07,2508.89,2500.83,2201.07,2228.16,1019.41,1637.23,1634.63,1026.88,2374.79,1581.2,1842.84,1481.8,1174.4,2039.61,1480.98,1752.75,1761.9,1472.61,1490.28,0,716.63,734.11,706.37,866.99,721.7,711.9,97.4,748.58,731.59,705.09,756.14,738.93,728.46,737.88,844.58,1820.61,1847.98,1303.92,2577.59,1788.26,2044.66,1249.25,1467.59,2183.31,1699.55,1941.79,1979.85,1615.86,1713.78,844.58,1250.26,1244.05,724.25,1825.64,1185.82,1446.41,1173.46,860.94,1574.41,1119.4,1314.29,1389.02,1033.45,1130.72,0,570.35,603.93,579.67,751.95,602.44,598.25,75.79,606.65,608.9,580.15,627.5,590.83,582.41,583.06,615.596,2503.193,2427.15,2174.805,3487.311,2236.746,2516.934,1132.637,2113.498,3045.691,2349.836,2758.508,2507.734,2753.727,2510.606,615.596,1533.451,1477.228,1217.024,2589.515,1475.208,1663.422,1030.927,1065.156,2095.132,1441.929,1847.37,1444.959,1682.248,1420.679,0,969.742,949.922,957.781,897.796,761.538,853.512,101.71,1048.342,950.559,907.907,911.138,1062.775,1071.479,1089.927
10,HOR354,47.98,9.12,48.3Nx10.0E,Wheat_v10_sg_avg_074983.soil,nw_targets_01,116,365,363,365,357,336,357,328,341,340,351,338,345,329,360,104,319,298,313,299,278,298,269,283,281,292,276,286,271,306,0,31,46,35,44,44,47,43,44,42,41,45,46,42,43,0,23793.44819,0,26553.12046,0,0,0,0,0,0,0,0,0,0,0,0,14032.38356,0,15954.6249,0,0,0,0,0,0,0,0,0,0,0,0,9761.064628,0,10598.49556,0,0,0,0,0,0,0,0,0,0,0,424.02,2341.21,2161.79,2102.13,2562.42,2302.62,2571.1,2130.05,2204.06,2235.98,2378.05,2160.1,2561.16,2049.07,2465.5,424.02,1891.45,1475.45,1604.26,1808.57,1576.11,1837.89,1404.19,1441.24,1480.95,1588.65,1414.73,1805.87,1322.78,1681.81,0,449.76,686.34,497.87,753.85,726.51,733.21,725.86,762.82,755.03,789.4,745.37,755.29,726.29,783.69,287.95,1793.3,1525.48,1477.64,1933.26,1684.4,1891.32,1517.15,1493.69,1585.73,1723.26,1523.42,1880.41,1343.86,1753.68,287.95,1404.16,951.98,1057.72,1280.2,1084.76,1282.94,910.24,864.85,959.64,1049.68,909.03,1238.53,734.99,1114.59,0,389.14,573.5,419.92,653.06,599.64,608.38,606.91,628.84,626.09,673.58,614.39,641.88,608.87,639.09,412.604,2831.682,2972.794,3239.72,3126.03,2935.993,3158.872,2777.4,3202.661,3170.115,3019.424,3020.551,3104.239,3175.112,3326.43,412.604,2440.701,2257.676,2743.285,2384.134,2098.73,2325.683,1889.909,2321.073,2285.534,2327.161,2171.818,2381.031,2366.582,2507.895,0,390.981,715.118,496.435,741.896,837.263,833.189,887.491,881.588,884.581,692.263,848.733,723.208,808.53,818.535
11,HOR10610,36.44,43.26,36.9Nx42.5E,Wheat_v10_sg_avg_122262.soil,nw_targets_01,29,361,267,339,295,338,287,326,322,341,273,296,313,298,350,0,191,150,157,157,187,157,103,169,220,151,139,110,157,196,0,74,99,79,116,95,115,115,106,82,118,90,108,90,87,0,12314.74716,11242.99242,12250.63185,11791.38627,11701.38992,13349.93679,15744.75508,13824.141,14392.60545,15876.64311,19531.07464,18724.56707,14242.21871,15030.28381,0,5025.584662,1598.161041,4991.000818,779.715003,2213.650546,1889.887989,4257.628797,3640.070168,6302.608919,4088.3972,10534.21124,7927.260723,5243.454551,6333.353335,0,7289.162493,9644.831379,7259.631027,11011.67127,9487.73937,11460.0488,11487.12628,10184.07083,8089.996526,11788.24591,8996.863397,10797.30635,8998.764159,8696.930472,0,5235.09,4297.48,4912.56,5240.88,5070.86,5286.01,5318.66,5514.9,5546.37,5330.45,5672.5,5371.96,5306.43,5747.47,0,3117.37,1283.63,2620.12,1560.85,2181.23,1673.66,1673.86,2216.85,3207.27,1590.33,2975.29,1987.5,2598.6,3141.06,0,2117.72,3013.85,2292.44,3680.03,2889.63,3612.35,3644.8,3298.05,2339.1,3740.12,2697.21,3384.46,2707.83,2606.41,0,4473.04,3605.31,4230.05,4480.16,4259.43,4476.61,4635.57,4720.49,4653.59,4545.79,4930.15,4668.67,4569.91,4970.88,0,2604.08,947.89,2187.8,1216.36,1696.31,1296.56,1386.64,1799.02,2591.29,1221.43,2542.96,1653.87,2153.08,2635.71,0,1868.96,2657.42,2042.25,3263.8,2563.12,3180.05,3248.93,2921.47,2062.3,3324.36,2387.19,3014.8,2416.83,2335.17,0,5207.923,4840.003,4844.462,5438.998,5714.074,5720.322,5359.746,5789.615,6271.565,5963.46,5463.018,5514.992,5685.918,5932.69,0,3517.736,2163.352,3143.053,2383.254,3195.461,2662.489,2264.549,2957.716,4345.462,2696.324,3353.836,2689.651,3478.078,3744.334,0,1690.187,2676.651,1701.409,3055.744,2518.613,3057.833,3095.197,2831.899,1926.103,3267.136,2109.182,2825.341,2207.84,2188.356
